top_parent_entity_id,top_parent_canonical_name,thirteen_f_aum_billions,fund_tier_aum_billions,combined_aum_billions,n_funds_under,n_inst_subsidiaries,coverage_class
4375,Vanguard Group,6897.676080637,8210.235515148906,15107.911595785907,177,2,both
3241,"BlackRock, Inc.",5916.347916984,484.20105590649996,6400.5489728905,241,6,both
10443,Fidelity / FMR,1961.271425547,3961.85170708393,5923.12313263093,565,4,both
7984,State Street / SSGA,2980.911055209,807.8066116884512,3788.717666897451,210,2,both
2,BlackRock / iShares,0.0,2924.0542281857365,2924.0542281857365,512,1,fund_only
12,Capital Group / American Funds,0.0,2820.618190143289,2820.618190143289,137,1,fund_only
2920,Morgan Stanley Investment Management,1674.996068266,86.16468834930994,1761.16075661531,151,9,both
7859,"GEODE CAPITAL MANAGEMENT, LLC",1620.441726706,19.133501322740013,1639.57522802874,11,1,both
4433,JPMORGAN CHASE & CO,1592.803635626,0.0,1592.803635626,0,2,13F_only
8424,BANK OF AMERICA CORP /DE/,1473.915614101,0.0,1473.915614101,0,1,13F_only
5026,Dimensional Fund Advisors,476.724133909,709.8231385985126,1186.5472725075126,189,4,both
3616,T. Rowe Price,0.927464479,952.1647298989801,953.0921943779801,189,2,both
91,Norges Bank,934.755639394,0.0,934.755639394,0,1,13F_only
4,Invesco,0.0,923.9089837041196,923.9089837041196,346,1,fund_only
9755,"SUSQUEHANNA INTERNATIONAL GROUP, LLP",868.031753979,0.0,868.031753979,0,1,13F_only
11220,Wellington Management,570.656014881,275.97748764826986,846.6335025292699,26,1,both
4435,Northern Trust,784.379399994,51.34672014905007,835.72612014305,49,1,both
5386,GOLDMAN SACHS GROUP INC,811.112828977,0.0,811.112828977,0,1,13F_only
6657,Capital World Investors,735.299355771,0.0,735.299355771,0,1,13F_only
10178,Ameriprise Financial,442.510554031,246.11977995954993,688.63033399055,108,1,both
5,Charles Schwab,0.0,671.4821645644387,671.4821645644387,92,1,fund_only
260,CITADEL ADVISORS LLC,665.872168045,0.0,665.872168045,0,1,13F_only
7345,Jane Street Group,662.115964674,0.0,662.115964674,0,1,13F_only
569,Invesco Ltd.,652.1950864,0.0,652.1950864,0,1,13F_only
5687,CHARLES SCHWAB INVESTMENT MANAGEMENT INC,643.566271289,0.3604476211499999,643.92671891015,9,1,both
7136,Capital International Investors,637.974701306,0.0,637.974701306,0,1,13F_only
8369,UBS Group AG,616.68263929,0.0,616.68263929,0,1,13F_only
7440,Royal Bank of Canada,614.691729,0.0,614.691729,0,1,13F_only
1401,Bank of New York Mellon Corp,567.68625302,0.0,567.68625302,0,1,13F_only
3144,WELLS FARGO & COMPANY/MN,549.076149567,0.0,549.076149567,0,1,13F_only
7125,Capital Research Global Investors,541.732783094,0.0,541.732783094,0,1,13F_only
4805,Franklin Templeton,417.454615915,73.92684752915001,491.38146344415,121,4,both
3583,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",472.968483625,1.4726921103399997,474.44117573534,17,1,both
18073,J.P. Morgan Investment Management Inc.,0.0,459.7111671480699,459.7111671480699,143,1,fund_only
7307,Legal & General Group Plc,450.910217939,0.0,450.910217939,0,1,13F_only
7985,BARCLAYS PLC,436.375315257,0.0,436.375315257,0,1,13F_only
18762,AllianceBernstein Holding L.P.,316.671809657,86.28747456248993,402.9592842194899,85,2,both
17,MFS Investment Management,0.0,396.1305160965098,396.1305160965098,107,1,fund_only
15,Dodge & Cox,185.255649932,199.51485912572002,384.77050905772,7,1,both
9554,"Nuveen, LLC",381.899026358,0.0,381.899026358,0,1,13F_only
4248,Amundi Asset Management,367.994756112,0.0,367.994756112,4,3,13F_only
2633,LPL Financial LLC,366.181023834,0.0,366.181023834,0,1,13F_only
7316,PRINCIPAL FINANCIAL GROUP INC,195.864471841,145.5079420190903,341.3724138600903,92,2,both
8477,Envestnet Asset Management,337.094825788,0.0,337.094825788,0,1,13F_only
5047,Massachusetts Financial Services,310.120832326,24.713178716239998,334.83401104224004,44,1,both
4723,Raymond James Financial,321.847661731,11.538723453600005,333.38638518460004,19,8,both
9130,VICTORY CAPITAL MANAGEMENT INC,177.199078653,132.18391705961008,309.38299571261007,158,1,both
9904,"TEACHERS ADVISORS, LLC",0.0,309.00640098556005,309.00640098556005,80,1,fund_only
7510,DEUTSCHE BANK AG\,307.090128463,0.0,307.090128463,0,1,13F_only
136,First Trust Portfolios,137.596160748,161.07528388755995,298.67144463555996,311,3,both
1755,"Fisher Asset Management, LLC",292.994292134,0.0,292.994292134,0,1,13F_only
10335,BANK OF MONTREAL /CAN/,288.733290837,0.0,288.733290837,0,1,13F_only
9,Nuveen / TIAA,0.0,279.0463788698507,279.0463788698507,98,1,fund_only
9665,"IMC-Chicago, LLC",275.424800165,0.0,275.424800165,0,1,13F_only
7443,Berkshire Hathaway Inc,274.160086701,0.0,274.160086701,0,1,13F_only
7382,Optiver Holding B.V.,268.814260748,0.0,268.814260748,0,1,13F_only
6309,PRIMECAP MANAGEMENT CO/CA/,132.110156202,118.79394969201999,250.90410589402,6,1,both
4271,"WIT, LLC",243.040799356,0.0,243.040799356,0,4,13F_only
10911,CITIGROUP INC,226.580271906,0.0,226.580271906,0,1,13F_only
1399,JANUS HENDERSON GROUP PLC,223.305374575,0.83326173056,224.13863630556,6,2,both
8994,MANULIFE FINANCIAL CORP,121.696840391,100.05687771057006,221.75371810157006,99,3,both
5936,BNP Paribas,220.693721226,0.0,220.693721226,0,1,13F_only
1355,FRANKLIN ADVISERS INC,0.0,214.73868638325996,214.73868638325996,115,1,fund_only
10924,CTC LLC,204.887432602,0.0,204.887432602,0,1,13F_only
9751,AMERICAN CENTURY COMPANIES INC,198.966293138,0.0,198.966293138,0,1,13F_only
6938,JENNISON ASSOCIATES LLC,166.565914829,31.54702391279,198.11293874179,4,1,both
9246,AQR CAPITAL MANAGEMENT LLC,190.628430568,4.10469276916,194.73312333716,7,1,both
5342,"PNC Financial Services Group, Inc.",183.109843854,0.0,183.109843854,0,1,13F_only
8145,"D. E. Shaw & Co., Inc.",182.424024893,0.0,182.424024893,0,1,13F_only
1926,Simplex Trading,177.415580964,0.0,177.415580964,0,1,13F_only
21,JPMorgan Asset Management,0.0,175.1247239391802,175.1247239391802,73,1,fund_only
1955,California Public Employees Retirement System,174.896518839,0.0,174.896518839,0,1,13F_only
686,ARROWSTREET CAPITAL HOLDING LLC,170.739483995,0.16826896513000003,170.90775296013,1,2,both
9005,"Sumitomo Mitsui Trust Group, Inc.",170.274749858,0.0,170.274749858,0,1,13F_only
6727,Swiss National Bank,168.006575072,0.0,168.006575072,0,1,13F_only
10910,JONES FINANCIAL COMPANIES LLLP,164.022663265,0.0,164.022663265,0,1,13F_only
51,Janus Henderson,0.0,163.63782860533007,163.63782860533007,55,1,fund_only
1013,"Clearbridge Investments, LLC",124.902213917,35.60213303897002,160.50434695597002,14,1,both
682,NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,158.118171945,0.0,158.118171945,0,1,13F_only
9523,ORIX Corp Europe N.V.,96.582749037,55.35826249187001,151.94101152887,22,2,both
4102,CANADA PENSION PLAN INVESTMENT BOARD,149.516294752,0.0,149.516294752,0,1,13F_only
4105,"Mitsubishi UFJ Asset Management Co., Ltd.",147.504538704,0.0,147.504538704,0,1,13F_only
7996,BAILLIE GIFFORD & CO,120.341270939,25.107129896499995,145.4484008355,19,2,both
9935,Wellington Management Co LLP,0.0,144.49055678873006,144.49055678873006,79,3,fund_only
1589,"PGIM, Inc.",0.0,143.66407896208992,143.66407896208992,83,2,fund_only
8386,"Natixis Investment Managers, LLC",94.669868516,47.16223185234,141.83210036833998,60,6,both
6993,Creative Planning,139.705144107,0.0,139.705144107,0,1,13F_only
6690,HARRIS ASSOCIATES L P,79.121382151,58.49209879214995,137.61348094314997,28,2,both
901,"First Eagle Investment Management, LLC",56.821944043,80.05290275420005,136.87484679720006,15,1,both
10056,National Pension Service,135.066881342,0.0,135.066881342,0,1,13F_only
2483,Neuberger Berman Group,134.336752013,0.0,134.336752013,0,1,13F_only
5956,FIL Ltd,133.598822485,0.0,133.598822485,0,1,13F_only
4931,SCHRODER INVESTMENT MANAGEMENT GROUP,131.912019381,0.0,131.912019381,0,1,13F_only
6698,1832 Asset Management L.P.,131.305708384,0.0,131.305708384,0,1,13F_only
17956,"Pzena Investment Management, LLC",33.403411445,95.57643571859997,128.97984716359997,8,2,both
6034,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,127.32507755,0.0,127.32507755,0,1,13F_only
3775,TD Asset Management Inc,124.298903924,0.0,124.298903924,0,1,13F_only
6480,RHUMBLINE ADVISERS,123.694935292,0.0,123.694935292,1,1,13F_only
6053,"Allspring Global Investments Holdings, LLC",61.731582431,60.657891774770086,122.38947420577009,73,2,both
5022,ProShare Advisors LLC,59.952258056,58.08102900536004,118.03328706136003,263,3,both
